dates,#calls,weekday,day,month
2020-01-21,19326,1,21,1
2020-01-22,19614,2,22,1
2020-01-23,19704,3,23,1
2020-01-24,19355,4,24,1
2020-01-25,18748,5,25,1
2020-01-26,18180,6,26,1
2020-01-27,18362,0,27,1
2020-01-28,19324,1,28,1
2020-01-29,20052,2,29,1
2020-01-30,19942,3,30,1
2020-01-31,19842,4,31,1
2020-02-01,18975,5,1,2
2020-02-02,17997,6,2,2
2020-02-03,18990,0,3,2
2020-02-04,19826,1,4,2
2020-02-05,19572,2,5,2
2020-02-06,19912,3,6,2
2020-02-07,19982,4,7,2
2020-02-08,19127,5,8,2
2020-02-09,17138,6,9,2
2020-02-10,17183,0,10,2
2020-02-11,18365,1,11,2
2020-02-12,19182,2,12,2
2020-02-13,18754,3,13,2
2020-02-14,18968,4,14,2
2020-02-15,18045,5,15,2
2020-02-16,17226,6,16,2
2020-02-17,17227,0,17,2
2020-02-18,18400,1,18,2
2020-02-19,18746,2,19,2
2020-02-20,17871,3,20,2
2020-02-21,17684,4,21,2
2020-02-22,18268,5,22,2
2020-02-23,17525,6,23,2
2020-02-24,17844,0,24,2
2020-02-25,18349,1,25,2
2020-02-26,18989,2,26,2
2020-02-27,19168,3,27,2
2020-02-28,19085,4,28,2
2020-02-29,18861,5,29,2
2020-03-01,17631,6,1,3
2020-03-02,18338,0,2,3
2020-03-03,18787,1,3,3
2020-03-04,19432,2,4,3
2020-03-05,19370,3,5,3
2020-03-06,18478,4,6,3
2020-03-07,18414,5,7,3
2020-03-08,17478,6,8,3
2020-03-09,18743,0,9,3
2020-03-10,19461,1,10,3
2020-03-11,19085,2,11,3
2020-03-12,18686,3,12,3
2020-03-13,18594,4,13,3
2020-03-14,18076,5,14,3
2020-03-15,17082,6,15,3
2020-03-16,16279,0,16,3
2020-03-17,18537,1,17,3
2020-03-18,18635,2,18,3
2020-03-19,18267,3,19,3
2020-03-20,17979,4,20,3
2020-03-21,16921,5,21,3
2020-03-22,16300,6,22,3
2020-03-23,16267,0,23,3
2020-03-24,17471,1,24,3
2020-03-25,17393,2,25,3
2020-03-26,17344,3,26,3
2020-03-27,17064,4,27,3
2020-03-28,15243,5,28,3
2020-03-29,15208,6,29,3
2020-03-30,16021,0,30,3
2020-03-31,16540,1,31,3
2020-04-01,16736,2,1,4
2020-04-02,16975,3,2,4
2020-04-03,15823,4,3,4
2020-04-04,15605,5,4,4
2020-04-05,15018,6,5,4
2020-04-06,15805,0,6,4
2020-04-07,16278,1,7,4
2020-04-08,16574,2,8,4
2020-04-09,16769,3,9,4
2020-04-10,16511,4,10,4
2020-04-11,15795,5,11,4
2020-04-12,15173,6,12,4
2020-04-13,16062,0,13,4
2020-04-14,17465,1,14,4
2020-04-15,17284,2,15,4
2020-04-16,17383,3,16,4
2020-04-17,16661,4,17,4
2020-04-18,15948,5,18,4
2020-04-19,16106,6,19,4
2020-04-20,16831,0,20,4
2020-04-21,18121,1,21,4
2020-04-22,18543,2,22,4
2020-04-23,19089,3,23,4
2020-04-24,18465,4,24,4
2020-04-25,18610,5,25,4
2020-04-26,16288,6,26,4
2020-04-27,17669,0,27,4
2020-04-28,19765,1,28,4
2020-04-29,19166,2,29,4
2020-04-30,19411,3,30,4
2020-05-01,20211,4,1,5
2020-05-02,20165,5,2,5
2020-05-03,19243,6,3,5
2020-05-04,19431,0,4,5
2020-05-05,19989,1,5,5
2020-05-06,19907,2,6,5
2020-05-07,20330,3,7,5
2020-05-08,19223,4,8,5
2020-05-09,18332,5,9,5
2020-05-10,17871,6,10,5
2020-05-11,18602,0,11,5
2020-05-12,19502,1,12,5
2020-05-13,19625,2,13,5
2020-05-14,20373,3,14,5
2020-05-15,21170,4,15,5
2020-05-16,20130,5,16,5
2020-05-17,18533,6,17,5
